Model,N (raw),N (norm),TN_600,FP_600,FN_600,TP_600,TN_raw,FP_raw,FN_raw,TP_raw,Accuracy,Precision,Recall,F1,FNR,FPR
Random Forest,20446,600,586,1,6,7,19982,18,221,225,0.9883106720140858,0.9259259259259259,0.5044843049327354,0.6531204644412192,0.49551569506726456,0.0009
Decision Tree,20446,600,581,6,6,7,19803,197,197,249,0.9807297270859826,0.5582959641255605,0.5582959641255605,0.5582959641255605,0.44170403587443946,0.00985
MLP,20446,600,586,0,8,5,19985,15,282,164,0.9854739313313118,0.9162011173184358,0.36771300448430494,0.5247999999999999,0.6322869955156951,0.00075
KNN,20446,600,580,7,6,7,19774,226,213,233,0.9785288075907268,0.5076252723311547,0.5224215246636771,0.5149171270718231,0.47757847533632286,0.0113
SVM-RBF,20446,600,587,0,9,4,19988,12,317,129,0.9839088330235743,0.9148936170212766,0.289237668161435,0.4395229982964225,0.7107623318385651,0.0006
AdaBoost,20446,600,587,0,12,1,19996,4,415,31,0.9795069940330627,0.8857142857142857,0.06950672645739911,0.1288981288981289,0.9304932735426009,0.0002
Gaussian NB,20446,600,402,185,2,11,13683,6317,60,386,0.6881052528611954,0.05758615545278234,0.8654708520179372,0.10798713106728214,0.13452914798206278,0.31585
