Model,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP,FNR,FPR,Fold,Accuracy_std,Precision_std,Recall_std,F1_std,ROC_AUC_std,TN_std,FP_std,FN_std,TP_std,FNR_std,FPR_std,Fold_std
Random Forest,0.9883107101705871,0.9288821892393321,0.5045193508114856,0.6528039380449194,0.9317498189762798,3996.4,3.6,44.2,45.0,0.49548064918851437,0.0009,3.0,0.0007205178647340796,0.04739929196385801,0.0313647150397398,0.02455962088127597,0.011868138978723188,2.6076809620810595,2.6076809620810595,2.863564212655271,2.7386127875258306,0.03136471503973981,0.0006519202405202649,1.5811388300841898
Decision Tree,0.980729789087665,0.5602367233723295,0.5583021223470661,0.5581918756737572,0.8136563670411985,3960.6,39.4,39.4,49.8,0.4416978776529338,0.009850000000000001,3.0,0.000997807539201619,0.02756646527512445,0.033153061230361464,0.012468715739087555,0.01491125120027227,6.06630035524124,6.06630035524124,2.9664793948382653,2.9495762407505253,0.03315306123036143,0.00151657508881031,1.5811388300841898
MLP,0.9854739503265065,0.9197698186754273,0.3676404494382023,0.5234468284532469,0.9347194257178526,3997.0,3.0,56.4,32.8,0.6323595505617978,0.00075,3.0,0.0009244221154133105,0.046696710860068776,0.04507284849558683,0.046458870647578206,0.012625316490360087,2.23606797749979,2.23606797749979,3.9115214431215892,4.08656334834051,0.04507284849558679,0.0005590169943749475,1.5811388300841898
KNN,0.9785288456536441,0.5099843157510887,0.5223470661672909,0.5147047979867342,0.848085268414482,3954.8,45.2,42.6,46.6,0.47765293383270907,0.011300000000000001,3.0,0.0012389372000248275,0.030826668410503976,0.037125071301666285,0.015545515855660242,0.016024096200220047,7.463243262818116,7.463243262818116,3.209361307176242,3.4351128074635335,0.037125071301666264,0.001865810815704529,1.5811388300841898
SVM-RBF,0.9839087874259821,0.9143229646697388,0.2891385767790262,0.4373065742530014,0.893050518102372,3997.6,2.4,63.4,25.8,0.7108614232209738,0.0006000000000000001,3.0,0.001178682199149908,0.04478405181126988,0.05391177293017703,0.06524488482069417,0.01486736033647949,1.140175425099138,1.140175425099138,4.669047011971501,4.868264577855234,0.053911772930177036,0.00028504385627478455,1.5811388300841898
AdaBoost,0.9795070321053384,0.8761904761904763,0.0695880149812734,0.12457452361619337,0.9293682771535581,3999.2,0.8,83.0,6.2,0.9304119850187267,0.0002,3.0,0.0014808633665184783,0.170367083999984,0.06230998693916562,0.10203370171636286,0.017225738306318034,1.0954451150103321,1.0954451150103324,5.70087712549569,5.540758070878028,0.06230998693916561,0.00027386127875258305,1.5811388300841898
Gaussian NB,0.6881038100312067,0.058046239263996324,0.8652933832709113,0.1087406599136997,0.8508756460674156,2736.6,1263.4,12.0,77.2,0.13470661672908862,0.31585,3.0,0.0335716804637607,0.007021709786694195,0.05639851990427036,0.012595475889111826,0.02015588750949971,137.23993587873755,137.23993587873755,5.0,5.357238094391549,0.05639851990427038,0.0343099839696844,1.5811388300841898
